0002	Raspberry Pi Model B Rev 1	256MB		
0003	Raspberry Pi Model B Rev 1	256MB		ECN0001 no fuses D14 removed
0004	Raspberry Pi Model B Rev 2	256MB		
0005	Raspberry Pi Model B Rev 2	256MB		
0006	Raspberry Pi Model B Rev 2	256MB		
0007	Raspberry Pi Model A	256MB		
0008	Raspberry Pi Model A	256MB		
0009	Raspberry Pi Model A	256MB		
000d	Raspberry Pi Model B Rev 2	512MB		
000e	Raspberry Pi Model B Rev 2	512MB		
000f	Raspberry Pi Model B Rev 2	512MB		
0010	Raspberry Pi Model B+	512MB		
0013	Raspberry Pi Model B+	512MB		
900032	Raspberry Pi Model B+	512MB		
0011	Raspberry Pi Compute Module	512MB		
0014	Raspberry Pi Compute Module	512MB	Embest China	
0012	Raspberry Pi Model A+	256MB		
0015	Raspberry Pi Model A+	256MB or 512MB	Embest China	
a01041 	Raspberry Pi 2 Model B v1.1	1GB	Sony UK	
a21041 	Raspberry Pi 2 Model B v1.1	1GB	Embest China	
a22042	Raspberry Pi 2 Model B v1.2	1GB		
900092	Raspberry Pi Zero v1.2	512MB		
900093	Raspberry Pi Zero v1.3	512MB		
9000C1	Raspberry Pi Zero W	512MB		
a02082	Raspberry Pi 3 Model B	1GB	Sony UK	
a22082	Raspberry Pi 3 Model B	1GB	Embest China	
a020d3	Raspberry Pi 3 Model B+	1GB	Sony UK	
